Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2023-09	-
Simulation	ConfigurationFile	C:\Users\User\OneDrive\Documents\JaamsSim_Trying\FinalProject-4550\FinalProjectSimulation.cfg	-
Simulation	ScenarioNumber	5.0	-
Simulation	ScenarioIndex	{ 5 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	5.0	-
Simulation	RunIndex	{ 5 }	-
Simulation	PresentTimeAndDate	Jan 10, 2024 23:54	-
Simulation	InitializationDuration	0.0	h
Simulation	RunDuration	800.0	h
Simulation	PresentSimulationTime	0.0	h

this.SimTime/1[h]	this.obj	this.obj.StateTimes("EntranceQ1Time")	this.obj.StateTimes("EntranceQ2Time")	this.obj.StateTimes("EntranceQ3Time")	this.obj.StateTimes("EntranceQ4Time")	this.obj.StateTimes("FoodQTime")	this.obj.StateTimes("RolarCoasterQTime")	this.obj.StateTimes("CarouselQTime")	this.obj.StateTimes("WaterRideQTime")	this.obj.StateTimes("FerrisWheelQTime")	this.obj.StateTimes("CableCarQTime")
11.468771956388888	VisitorArrivalGenerator_112	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
11.713513589166666	VisitorArrivalGenerator_115	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
11.829639536944445	VisitorArrivalGenerator_74	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	1.694860548611111[h]	0.0[h]
12.251135600833333	VisitorArrivalGenerator_119	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
12.49416973361111	VisitorArrivalGenerator_124	0.0[h]	0.0[h]	0.12058514[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
12.621045073055555	VisitorArrivalGenerator_132	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
12.743706045555555	VisitorArrivalGenerator_117	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.8214754552777778[h]
13.290256097777776	VisitorArrivalGenerator_139	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
14.916811675833333	VisitorArrivalGenerator_144	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_1	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	15.010329504999998[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_5	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	14.506882941388888[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_12	0.08890594166666665[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	13.698721711388888[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_24	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	11.44402557361111[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_63	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	6.296968501944444[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_73	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	4.594222590277777[h]	0.0[h]	1.0351655761111112[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_101	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	4.417043274444445[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_36	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	4.296054833055555[h]	0.0[h]	1.855820856388889[h]	3.3397953852777773[h]
15.22900157861111	VisitorArrivalGenerator_128	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	2.361508189722222[h]	0.0[h]	0.0[h]	0.0[h]
15.22900157861111	VisitorArrivalGenerator_100	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	2.3578003094444444[h]	0.0[h]	0.0[h]	2.047729563888889[h]
15.371454265833332	VisitorArrivalGenerator_149	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
15.72900157861111	VisitorArrivalGenerator_66	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	5.849753430833333[h]	0.0[h]
15.72900157861111	VisitorArrivalGenerator_142	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.4602497947222222[h]	0.0[h]
15.729807313333334	VisitorArrivalGenerator_68	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.04845654611111111[h]	0.0[h]	6.044806590555555[h]	0.0[h]	0.0[h]	0.0[h]
15.762334911944444	VisitorArrivalGenerator_129	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	2.6192365247222225[h]	0.0[h]	0.0[h]	0.36666666666666664[h]
15.762334911944444	VisitorArrivalGenerator_135	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	2.4969455927777773[h]	0.0[h]	0.0[h]	0.36666666666666664[h]
15.770624073333332	VisitorArrivalGenerator_65	0.0[h]	0.1326882075[h]	0.0[h]	0.0[h]	8.057347222222222E-4[h]	0.0[h]	6.296071846388888[h]	0.0[h]	0.0[h]	0.3333333333333333[h]
16.062334911944443	VisitorArrivalGenerator_120	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	2.940397143333333[h]	0.0[h]	0.6666666666666666[h]	0.0[h]
16.2265682575	VisitorArrivalGenerator_52	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	8.596448877777776[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
16.2265682575	VisitorArrivalGenerator_130	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	3.404149221388889[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]
16.2265682575	VisitorArrivalGenerator_27	0.0[h]	0.003831527777777778[h]	0.0[h]	0.0[h]	0.0[h]	0.8309000122222221[h]	11.612313849444444[h]	0.0[h]	0.0[h]	0.0[h]
16.2265682575	VisitorArrivalGenerator_91	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.8309000122222221[h]	5.073762233333333[h]	0.0[h]	0.0[h]	0.0[h]
16.2265682575	VisitorArrivalGenerator_136	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.0[h]	0.8309000122222221[h]	1.9849390341666666[h]	0.0[h]	0.0[h]	0.0[h]
